blob_binary	c86626638e0bc8cf47ca49bb1525b40e9737ee64	blob
blob_crlf	cf9b2a85b62bc2fd67c5ed43a1d0009df848ac8a	blob
blob_empty	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	blob
blob_exec	4163036efa65bd4a469e752267498f01ea36a55c	blob
blob_hello	ce013625030ba8dba906f756967f9e9ca394464a	blob
blob_link	3fb74b4ac5ab8fa23ed8d40fdef8f00680c2a54f	blob
commit_child	4b9eac317761324b628e7cae9146babb70716cfd	commit
commit_empty_message	546f2a262803b714cc8ec0f00e58fafc6845caf4	commit
commit_encoding	884cc7e1e544a233ee5aa712a94e7de9859d777f	commit
commit_extra_headers	193f5f141355d474a8d4db50ed486e72890864c3	commit
commit_gpgsig	6c14d8bbcccc5e9dcb6b45943c06d0f3382557f4	commit
commit_merge	2c1dfb93e4083eaefe0089af807cbb5df58ad7fc	commit
commit_negative_zero_zone	b1e9719a00a27090ae273539addd260812285276	commit
commit_no_zone	95b3f7e209b5d3ef126630c456ba65281b31c0d0	commit
commit_root	cd486dc672a4de7c98fdcdbff307b842f84a8c4c	commit
commit_side	118f7661bace8c80eb0c1550f36c983f4eb2e67b	commit
tag_annotated	985ed0aafdb32b5b035ed57883dadfb90ea589fb	tag
tag_blob	a49e7a940fb4e4ae9e4181df80f5e5f3c81e4de3	tag
tag_nested	1d0690948dd0771a325f1b724a0b7496ecf978e2	tag
tag_no_tagger	ad3de4b596ceba0965a8df9bf33f8d89bf3a5d8c	tag
tag_signed	9eb6cfa0e47ffa330a993c5c224ea2ab258cdf9d	tag
tree_deep	7b72c2c22c26db86ef59504333b16a27bfbe55c6	tree
tree_empty	4b825dc642cb6eb9a060e54bf8d69288fbee4904	tree
tree_root	0a2a793eb265704b372a500211706c02a1616599	tree
tree_sub	346fab697709432f6ecc37fc6630c2e18d281399	tree
tree_unicode	04b16ed0c0653c82cfbf367fc5d2b4ee36788e41	tree
